SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
271,1086836400,3.67,0.79,1.88,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086861600,30.15,17.12,8.5,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086879600,26.42,10.25,10.55,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086908400,9.2,4.15,3.29,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086951600,17.51,9.54,5.2,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1086955200,21.05,13.31,5.05,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087023600,45.56,23.37,14.47,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087034400,10.5,4.18,4.12,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087038000,12.63,5.73,4.5,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087066800,11.58,5.0,4.29,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087088400,21.65,15.77,3.83,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087102800,33.67,22.93,7.0,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087135200,12.12,5.73,4.17,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087153200,27.67,19.95,5.03,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087207200,58.69,18.49,26.21,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087254000,45.39,34.05,7.4,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087290000,41.3,22.77,12.08,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087326000,19.39,4.99,9.39,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087329600,16.07,4.2,7.74,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087347600,10.89,3.44,4.86,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087362000,23.13,11.93,7.3,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087434000,6.17,3.33,1.85,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087452000,13.88,9.54,2.83,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087459200,31.99,20.34,7.6,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087462800,32.65,17.75,9.72,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087488000,21.18,9.99,7.3,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087513200,21.07,16.81,2.78,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087596000,25.22,19.45,3.76,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087646400,15.0,5.94,5.91,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087650000,19.91,10.42,6.19,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087671600,9.31,5.58,2.43,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087678800,7.56,5.16,1.56,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087693200,8.07,6.75,0.86,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087711200,10.33,7.0,2.17,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087714800,12.78,7.59,3.38,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087736400,11.91,4.85,4.61,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087797600,38.17,25.87,8.02,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087812000,47.72,26.02,14.15,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087876800,39.86,31.28,5.59,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087905600,13.69,7.65,3.94,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087912800,19.87,8.54,7.39,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087959600,0.84,0.59,0.16,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1087977600,12.99,8.59,2.86,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1088006400,10.71,7.82,1.88,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1088010000,10.58,7.88,1.76,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1088020800,7.37,3.86,2.29,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1088038800,10.57,8.96,1.05,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1088046000,10.1,8.4,1.11,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1088056800,17.43,10.32,4.63,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1098684000,6.83,6.57,0.17,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1098687600,11.39,10.74,0.42,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1098723600,4.83,3.41,0.93,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1098813600,52.37,26.37,16.95,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1098817200,21.72,15.93,3.78,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1098867600,64.5,26.61,24.71,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1098878400,39.04,21.75,11.28,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099018800,1.37,0.12,0.82,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099069200,80.35,55.72,16.06,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099080000,61.35,47.64,8.94,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099090800,78.83,38.1,26.56,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099101600,52.77,26.9,16.87,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099112400,65.16,32.16,21.51,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099152000,46.48,25.79,13.49,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099155600,60.61,31.32,19.09,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099173600,43.46,29.56,9.06,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099195200,32.13,25.74,4.16,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099231200,30.74,22.71,5.23,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099245600,38.55,32.47,3.97,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099281600,58.34,22.19,23.57,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099299600,140.71,30.41,71.92,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099314000,82.91,35.5,30.91,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099321200,85.52,44.93,26.47,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099335600,107.64,52.44,35.99,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099353600,51.99,33.78,11.88,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099360800,27.91,21.11,4.43,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099375200,38.5,25.71,8.34,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099404000,97.36,29.91,43.98,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099418400,157.23,36.98,78.41,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099422000,123.6,35.98,57.13,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
